priority	score_16	slug	title	chars	h2_count	h3_count	list_or_table_count	intro_first_100_chars	faq_count	has_faq_structured_data	has_end_summary	has_cta_section	image_count	missing_alt_count	publishedTime	modifiedTime	route_file	component_file	notes
P1	12	python-ai-intro	Python × AI入門｜環境構築からはじめての機械学習までの学習ロードマップ | AIリブート	40502	96	240	128	生成AIの学習全体の進め方も合わせて知りたい方は 社会人のための生成AI学習ロードマップも参考になります。 この記事では、最短で1本作って学習を線にするために、環境選びから機械学習の実践、生成AI時代	6	yes	yes	yes	0	0	2026-02-17T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/python-ai-intro/page.tsx	components/academyLanding/blog/python-ai-intro/PythonAiIntroPage.tsx	
P1	13	ai-agent-build-guide	AIエージェントの作り方｜仕組み・開発手順・活用パターンを解説 | AIリブート	56621	96	160	56	AIエージェントは、目標達成に向けて「計画→実行→観察→修正」を反復するAIシステムです。 この記事では、仕組み→開発5ステップ→フレームワーク比較→ノーコード実装→運用上の注意点まで、まず作るべき最	6	yes	yes	yes	0	0	2026-02-17T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/ai-agent-build-guide/page.tsx	components/academyLanding/blog/ai-agent-build-guide/AiAgentBuildGuidePage.tsx	
P1	13	ai-career-change-cases	AI時代のキャリアチェンジ事例（構成例）｜転換と成長のパターンを解説 | AIリブート	38409	56	32	40	キャリア転換とは、「何から始めればいいか」が曖昧だと、学習が空回りしやすくなります。 本記事では、職種別の構成例4つと、Before/Afterの変化、共通する成功要因がわかります。 筆者はまず「現職	4	yes	yes	yes	0	0	2025-11-01T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/ai-career-change-cases/page.tsx	components/academyLanding/blog/ai-career-change-cases/AiCareerChangeCasesPage.tsx	no-top-conclusion
P1	13	ai-certification-guide	AI資格おすすめ一覧｜難易度・費用・活かせる仕事を徹底比較【2026年版】 | AIリブート	65096	80	112	64	AI資格は目的で選ぶのが正解です。 この記事では、主要資格を難易度・費用・活かせる仕事で比較し、目的別のおすすめと学習ロードマップまで整理します。 AI資格は種類が多く、目的が曖昧だと「勉強したのに活	6	yes	yes	yes	0	0	2026-02-16T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/ai-certification-guide/page.tsx	components/academyLanding/blog/ai-certification-guide/AiCertificationGuidePage.tsx	
P1	13	ai-coding-for-beginners	AIコーディング入門｜非エンジニアでも始められるコード生成AIの使い方 | AIリブート	52188	80	128	32	AIコーディングとは、「環境構築なしで小さく試す」→「1つの自動化を完成させる」→「ツールを選び、レビュー手順を作って実務に乗せる」が最短ルートです。 AIでコードを書けると聞くとワクワクしますが、最	6	yes	yes	yes	0	0	2026-02-17T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/ai-coding-for-beginners/page.tsx	components/academyLanding/blog/ai-coding-for-beginners/AiCodingForBeginnersPage.tsx	no-top-conclusion
P1	13	ai-course-ranking	AI講座ランキング2026｜選び方の基準と目的別おすすめを解説 | AIリブート	45279	80	96	40	AI講座ランキングは、カリキュラム・実務接続・サポート・コスパ・受講者評価の5軸で比較するのが実践的です。 この記事では、評価5軸・目的別のおすすめタイプ・失敗回避のチェック順がわかります。 AI講座	6	yes	yes	yes	0	0	2026-02-17T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/ai-course-ranking/page.tsx	components/academyLanding/blog/ai-course-ranking/AiCourseRankingPage.tsx	
P1	13	ai-for-non-engineers	文系・非エンジニアのAI活用ガイド｜不安を解消して学び始める方法 | AIリブート	44065	80	96	40	「AIは怖い」という感覚は、未知・役割変化・誤情報への懸念が重なって生まれます。 AIに不安を感じるのは自然です。 大事なのは、曖昧な不安を「何が怖いのか」に分解し、無理のない順序で小さく始めることで	6	yes	yes	yes	0	0	2026-02-17T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/ai-for-non-engineers/page.tsx	components/academyLanding/blog/ai-for-non-engineers/AiForNonEngineersPage.tsx	
P1	13	ai-hr-recruiting	AI × 人事・採用｜業務効率化から戦略的活用までの実践ガイド | AIリブート	51851	96	224	24	人事・採用のAI活用は、定型業務の削減と判断材料の整理に寄せると、安全に成果が出やすいです。 本記事では、 採用活動と人事管理の具体的な活用パターン、ツールの選び方、すぐ使えるプロンプト例、導入時の注	6	yes	yes	yes	0	0	2026-02-17T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/ai-hr-recruiting/page.tsx	components/academyLanding/blog/ai-hr-recruiting/AiHrRecruitingPage.tsx	
P1	13	ai-presentation-workflow	AIでプレゼン資料を効率的に作る方法｜構成・デザイン・推敲まで | AIリブート	84943	104	288	72	プレゼン資料は「構成が固まらない」「スライドが長文化する」「見た目が整わない」で手戻りが起きやすい作業です。 この記事では、構成→原稿→デザイン→推敲の4工程を分けて回す手順と、各工程での入力・出力の	6	yes	yes	yes	0	0	2026-02-17T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/ai-presentation-workflow/page.tsx	components/academyLanding/blog/ai-presentation-workflow/AiPresentationWorkflowPage.tsx	
P1	13	ai-school-for-working-adults	社会人向けAIスクールの選び方ガイド｜失敗しない比較ポイントを解説 | AIリブート	46869	80	64	48	社会人の講座選びは、受講形式・カリキュラム・サポート・費用・修了後活用の5基準で比較するのが基本です。 この記事では、社会人が失敗しないための5基準・オンライン/通学の選び分け・目的別のチェック順を結	6	yes	yes	yes	0	0	2026-02-17T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/ai-school-for-working-adults/page.tsx	components/academyLanding/blog/ai-school-for-working-adults/AiSchoolForWorkingAdultsPage.tsx	
P1	13	ai-side-business-guide	副業でAIを活用する始め方ガイド｜学習から案件獲得までの現実的な進め方 | AIリブート	40850	72	96	32	副業でAIを活用する際は、まず対象領域を絞り、成果物の品質を担保できる運用を作ることが重要です。 この記事では、副業タイプ・学習ステップ・必要スキルの目安・実務上の注意点を結論先出しで整理します。 A	6	yes	yes	yes	0	0	2026-02-17T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/ai-side-business-guide/page.tsx	components/academyLanding/blog/ai-side-business-guide/AiSideBusinessGuidePage.tsx	
P1	13	ai-video-tool-comparison	AI動画生成ツールおすすめ比較｜用途別の選び方と始め方 | AIリブート	45083	96	120	64	結論から言うと、AI動画生成は「素材を作る（生成）」と 「仕上げる（編集）」を分けると失敗しにくいです。 SNSの短尺は編集AI、プロモや説明動画は生成AIでカットを作って編集で組み立てる、という使い	6	yes	yes	yes	0	0	2026-02-17T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/ai-video-tool-comparison/page.tsx	components/academyLanding/blog/ai-video-tool-comparison/AiVideoToolComparisonPage.tsx	
P1	13	dx-reskilling-subsidy-guide	DXリスキリング助成金ガイド｜対象条件・申請手順・併用可否を解説 | AIリブート	48812	88	128	40	DXリスキリング助成金は、企業がDX研修を実施する際の費用負担を軽減する制度群であり、要件確認が最重要です。 この記事では、制度の概要・個人向け補助金との違い・対象条件・申請フロー・併用可否まで、法人	6	yes	yes	yes	0	0	2026-02-17T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/dx-reskilling-subsidy-guide/page.tsx	components/academyLanding/blog/dx-reskilling-subsidy-guide/DxReskillingSubsidyGuidePage.tsx	
P1	13	g-e-certification-comparison	G検定とE検定の違いを徹底比較｜難易度・費用・向いている人を解説 | AIリブート	38496	80	32	88	G検定は「AIの全体像を広く」、E検定は「深層学習を深く」学ぶ位置づけです。 この記事では、対象者・範囲・難易度・費用・形式を比較し、どちらを先に取るべきかまで整理します。 G検定とは、「ビジネス活用	6	yes	yes	yes	0	0	2026-02-17T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/g-e-certification-comparison/page.tsx	components/academyLanding/blog/g-e-certification-comparison/GECertificationComparisonPage.tsx	
P1	13	gemini-beginners-guide	Google Gemini完全入門ガイド｜使い方・ChatGPTとの違い・無料で始める方法【2026年版】 | AIリブート	54474	80	96	64	Geminiを触ってみたものの、どこから始めるか・何ができるかが分かりにくいのが最初の壁です。 このガイドでは、無料で始める手順、ChatGPT/Claudeとの違い、仕事で再現しやすい使い方を結論先	6	yes	yes	yes	0	0	2026-02-17T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/gemini-beginners-guide/page.tsx	components/academyLanding/blog/gemini-beginners-guide/GeminiBeginnersguidePage.tsx	
P1	13	github-copilot-guide	GitHub Copilotの使い方｜導入・設定・効率化のコツを初心者向けに解説 | AIリブート	51141	80	0	48	導入は「拡張機能→サインイン→有効化」で完了します（IDEにより手順は多少異なります）。 Copilotとは、「実装の下書きを速くする道具」で、品質は制約の明文化＋テスト＋レビューで守ります。 Cop	5	yes	yes	yes	0	0	2026-02-17T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/github-copilot-guide/page.tsx	components/academyLanding/blog/github-copilot-guide/GithubCopilotGuidePage.tsx	
P1	13	gpt-vs-claude-comparison	GPT-4とClaude徹底比較｜性能・得意分野・料金の違いを解説【2026年版】 | AIリブート	57166	88	128	88	比較は「文章/コード/分析/要約/創造性」の5軸で見ると、得意不得意が整理しやすいです。 汎用性とワークフロー化を重視するならGPT-4系、長文の推敲や丁寧な説明を重視するならClaudeが相性良いこ	6	yes	yes	yes	0	0	2026-02-17T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/gpt-vs-claude-comparison/page.tsx	components/academyLanding/blog/gpt-vs-claude-comparison/GptVsClaudeComparisonPage.tsx	
P1	13	how-to-learn-generative-ai	社会人のための生成AI学習ロードマップ｜0→100日で実務活用レベルへ | AIリブート	42906	64	64	64	生成AIは、正しい順序で学べば100日で実務レベルに到達可能です。 この記事では、基礎理解→実践→業務統合の3フェーズを100日で回すロードマップと、つまずきやすいポイントを結論先出しで整理します。 	4	yes	yes	yes	0	0	2025-09-12T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/how-to-learn-generative-ai/page.tsx	components/academyLanding/blog/how-to-learn-generative-ai/HowToLearnGenerativeAiPage.tsx	
P1	13	multimodal-ai-intro	マルチモーダルAIとは？テキスト・画像・音声を横断する次世代AIを解説 | AIリブート	53118	96	160	56	マルチモーダルAIは、テキストだけでは扱いにくい「画像・音声・動画」を業務に取り込めるようにする技術です。 この記事では、定義・仕組み・活用シーン・始め方・注意点まで、導入判断に必要なポイントを結論先	6	yes	yes	yes	0	0	2026-02-17T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/multimodal-ai-intro/page.tsx	components/academyLanding/blog/multimodal-ai-intro/MultimodalAiIntroPage.tsx	
P1	13	prompt-template-for-work	仕事で使えるプロンプトテンプレート集｜メール・議事録・資料作成をAIで効率化 | AIリブート	55860	80	160	40	毎回プロンプトを考えていると、品質がぶれたり、修正指示が増えたりして「結局時間がかかる」状態になりがちです。 この記事では、業務カテゴリ別のテンプレートと、Role/Task/Context/Form	5	yes	yes	yes	0	0	2026-02-16T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/prompt-template-for-work/page.tsx	components/academyLanding/blog/prompt-template-for-work/PromptTemplateForWorkPage.tsx	
P1	13	rag-use-cases	RAG（検索拡張生成）の活用事例8選｜業種・業務別に解説 | AIリブート	34935	64	192	24	RAGは「検索で根拠を取り出し、その根拠を参照して回答を生成する」方式で、文書参照が多い業務と相性が良いです。 RAGとは、「参照すべき資料がある業務」で効果が出やすく、社内ナレッジ検索やサポートの一	6	yes	yes	yes	0	0	2026-02-17T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/rag-use-cases/page.tsx	components/academyLanding/blog/rag-use-cases/RagUseCasesPage.tsx	
P1	13	skills-for-ai-era-career	AI時代に必要なスキルを職種別に解説｜2026年版キャリア戦略 | AIリブート	39656	72	64	56	AI時代とは、「何を学べばいいか」を間違えると、ツール収集だけが増えて成果につながりません。 この記事では、職種別に必要なスキルと、共通基礎→職種別活用→成果物づくりの学習順序を結論先出しで整理します	4	yes	yes	yes	0	0	2025-10-04T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/skills-for-ai-era-career/page.tsx	components/academyLanding/blog/skills-for-ai-era-career/SkillsForAiEraCareerPage.tsx	no-top-conclusion
P1	13	what-is-ai-agent	AIエージェントとは？定義・種類・作り方を初心者向けに解説【2026年版】 | AIリブート	42819	80	64	56	AIエージェントは「計画→実行→振り返り」を回して目標に近づく仕組みで、まずは小さく始めるほど失敗しにくいです。 本記事では定義・種類・活用例・作り方の基本と、導入時の注意点までを結論先出しで整理しま	6	yes	yes	yes	0	0	2026-02-17T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/what-is-ai-agent/page.tsx	components/academyLanding/blog/what-is-ai-agent/WhatIsAiAgentPage.tsx	
P1	13	what-is-generative-ai	生成AIとは？初心者向けにわかりやすく解説｜ChatGPT・Claude・Geminiの違いと始め方【2026年版】 | AIリブート	39508	72	72	64	生成AIという言葉は聞くけれど、仕組みや違いがぼんやりして不安…という方向けです。 このページでは、質問ごとに結論を先に示し、ChatGPT/Claude/Geminiの違いと始め方まで一気に整理しま	6	yes	yes	yes	0	0	2026-02-16T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/what-is-generative-ai/page.tsx	components/academyLanding/blog/what-is-generative-ai/WhatIsGenerativeAiPage.tsx	no-top-conclusion
P3	14	chatgpt-claude-beginners-guide	ChatGPT・Claude初心者ガイド｜最初の1週間でできること | AIリブート	47048	80	96	40	初心者は、アカウント作成後に用途を1つ決めて、短い質問と追質問で使い方を習得するのが効果的です。 初めての生成AIとは、何を聞けばいいか・何が正解かでつまずきがちです。 最初の1週間で「基本操作」と「	6	yes	yes	yes	0	0	2026-02-17T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/chatgpt-claude-beginners-guide/page.tsx	components/academyLanding/blog/chatgpt-claude-beginners-guide/ChatgptClaudeBeginnersGuidePage.tsx	
P3	14	notebooklm-guide	NotebookLMの使い方完全ガイド｜AIで情報整理・学習を効率化する方法 | AIリブート	34473	88	96	56	NotebookLMとは、「資料を根拠に整理する」タイプなので、使い始めにソースの入れ方で迷いがちです。 このガイドでは、取り込み→要約→質問→アウトプットまでの手順と、仕事/学習での使い分けを結論先	6	yes	yes	yes	0	0	2026-02-17T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/notebooklm-guide/page.tsx	components/academyLanding/blog/notebooklm-guide/NotebookLmGuidePage.tsx	
P3	14	reskilling-over-40	40代・50代からのAIリスキリング完全ガイド｜経験を強みに学び直す方法 | AIリブート	45434	64	32	48	40代・50代のAI学習とは、年齢を不利と捉えるより、経験を活かした学び方へ設計することが重要です。 本記事では、年代別の進め方、独学で挫折しやすいポイント、学習手段の選び方を整理します。 筆者は「今	6	yes	yes	yes	0	0	2026-02-17T09:00:00+09:00	2026-02-18T18:00:00+09:00	app/academy/blog/reskilling-over-40/page.tsx	components/academyLanding/blog/reskilling-over-40/ReskillingOver40Page.tsx	
