slug	title	component_file	internal_links_count	internal_links	broken_links
ai-image-generation-guide	AI画像生成おすすめツール比較｜Google Gemini・Midjourney・ChatGPT画像生成の使い方と選び方【2026年版】 | AIリブート	components/academyLanding/blog/ai-image-generation-guide/AiImageGenerationGuidePage.tsx	5	/academy/blog/ai-presentation-workflow /academy/blog/ai-video-tool-comparison /academy/blog/multimodal-ai-intro /academy/blog/prompt-template-for-work /academy/blog/what-is-generative-ai	
ai-presentation-workflow	AIでプレゼン資料を効率的に作る方法｜構成・デザイン・推敲まで | AIリブート	components/academyLanding/blog/ai-presentation-workflow/AiPresentationWorkflowPage.tsx	3	/academy/blog/ai-business-efficiency-cases /academy/blog/how-to-learn-generative-ai /academy/blog/prompt-template-for-work	
ai-school-for-working-adults	社会人向けAIスクールの選び方ガイド｜失敗しない比較ポイントを解説 | AIリブート	components/academyLanding/blog/ai-school-for-working-adults/AiSchoolForWorkingAdultsPage.tsx	7	/academy/blog/ai-career-change-cases /academy/blog/ai-coding-for-beginners /academy/blog/ai-course-ranking /academy/blog/dx-reskilling-subsidy-guide /academy/blog/education-training-benefit-ai /academy/blog/g-e-certification-comparison /academy/blog/reskilling-over-40	
ai-side-business-guide	副業でAIを活用する始め方ガイド｜学習から案件獲得までの現実的な進め方 | AIリブート	components/academyLanding/blog/ai-side-business-guide/AiSideBusinessGuidePage.tsx	5	/academy/blog/ai-certification-guide /academy/blog/ai-coding-for-beginners /academy/blog/ai-course-ranking /academy/blog/g-e-certification-comparison /academy/blog/prompt-template-for-work	
ai-video-tool-comparison	AI動画生成ツールおすすめ比較｜用途別の選び方と始め方 | AIリブート	components/academyLanding/blog/ai-video-tool-comparison/AiVideoToolComparisonPage.tsx	6	/academy/blog/ai-business-efficiency-cases /academy/blog/ai-image-generation-guide /academy/blog/ai-presentation-workflow /academy/blog/how-to-learn-generative-ai /academy/blog/prompt-template-for-work /academy/blog/what-is-generative-ai	
chatgpt-claude-beginners-guide	ChatGPT・Claude初心者ガイド｜最初の1週間でできること | AIリブート	components/academyLanding/blog/chatgpt-claude-beginners-guide/ChatgptClaudeBeginnersGuidePage.tsx	6	/academy/blog/ai-coding-for-beginners /academy/blog/gemini-beginners-guide /academy/blog/gpt-vs-claude-comparison /academy/blog/how-to-learn-generative-ai /academy/blog/what-is-generative-ai /academy/blog/what-is-rag	
chatgpt-start-guide-smartphone	ChatGPTをスマホで始める方法｜iPhone・Android対応の初期設定ガイド | AIリブート	components/academyLanding/blog/chatgpt-start-guide-smartphone/ChatgptStartGuideSmartphonePage.tsx	3	/academy/blog/chatgpt-claude-beginners-guide /academy/blog/how-to-learn-generative-ai /academy/blog/prompt-template-for-work	
corporate-ai-adoption-guide	中小企業の生成AI導入ガイド｜失敗しない進め方と費用感 | AIリブート	components/academyLanding/blog/corporate-ai-adoption-guide/CorporateAiAdoptionGuidePage.tsx	4	/academy/blog/ai-business-efficiency-cases /academy/blog/corporate-ai-training /academy/blog/corporate-ai-training-internal /academy/blog/prompt-template-for-work	
corporate-ai-training	法人向けAI研修サービス｜社内定着・研修設計・導入相談 | AIリブート	components/academyLanding/blog/corporate-ai-training/CorporateAiTrainingPage.tsx	5	/academy/blog/ai-business-efficiency-cases /academy/blog/corporate-ai-adoption-guide /academy/blog/corporate-ai-training-internal /academy/blog/dx-reskilling-subsidy-guide /academy/blog/prompt-template-for-work	
corporate-ai-training-internal	社内AI研修の始め方と定着の進め方｜DX人材を育てる実務ガイド | AIリブート	components/academyLanding/blog/corporate-ai-training-internal/CorporateAiTrainingInternalPage.tsx	5	/academy/blog/ai-business-efficiency-cases /academy/blog/corporate-ai-adoption-guide /academy/blog/corporate-ai-training /academy/blog/dx-reskilling-subsidy-guide /academy/blog/prompt-template-for-work	
dx-reskilling-subsidy-guide	DXリスキリング助成金ガイド｜対象条件・申請手順・併用可否を解説 | AIリブート	components/academyLanding/blog/dx-reskilling-subsidy-guide/DxReskillingSubsidyGuidePage.tsx	5	/academy/blog/ai-course-ranking /academy/blog/ai-school-for-working-adults /academy/blog/corporate-ai-training /academy/blog/education-training-benefit-ai /academy/blog/reskilling-over-40	
education-training-benefit-ai	教育訓練給付金でAI講座を受講するガイド｜制度比較と費用の考え方 | AIリブート	components/academyLanding/blog/education-training-benefit-ai/EducationTrainingBenefitAiPage.tsx	4	/academy/blog/ai-course-ranking /academy/blog/ai-school-for-working-adults /academy/blog/dx-reskilling-subsidy-guide /academy/blog/reskilling-over-40	
g-e-certification-comparison	G検定とE検定の違いを徹底比較｜難易度・費用・向いている人を解説 | AIリブート	components/academyLanding/blog/g-e-certification-comparison/GECertificationComparisonPage.tsx	2	/academy/blog/ai-certification-guide /academy/blog/how-to-learn-generative-ai	
gemini-beginners-guide	Google Gemini完全入門ガイド｜使い方・ChatGPTとの違い・無料で始める方法【2026年版】 | AIリブート	components/academyLanding/blog/gemini-beginners-guide/GeminiBeginnersguidePage.tsx	6	/academy/blog/ai-agent-build-guide /academy/blog/chatgpt-claude-beginners-guide /academy/blog/gpt-vs-claude-comparison /academy/blog/notebooklm-guide /academy/blog/what-is-generative-ai /academy/blog/what-is-rag	
github-copilot-guide	GitHub Copilotの使い方｜導入・設定・効率化のコツを初心者向けに解説 | AIリブート	components/academyLanding/blog/github-copilot-guide/GithubCopilotGuidePage.tsx	4	/academy/blog/ai-agent-build-guide /academy/blog/ai-coding-for-beginners /academy/blog/chatgpt-claude-beginners-guide /academy/blog/prompt-template-for-work	
gpt-vs-claude-comparison	GPT-4とClaude徹底比較｜性能・得意分野・料金の違いを解説【2026年版】 | AIリブート	components/academyLanding/blog/gpt-vs-claude-comparison/GptVsClaudeComparisonPage.tsx	6	/academy/blog/ai-agent-build-guide /academy/blog/ai-coding-for-beginners /academy/blog/chatgpt-claude-beginners-guide /academy/blog/gemini-beginners-guide /academy/blog/prompt-template-for-work /academy/blog/what-is-generative-ai	
how-to-learn-generative-ai	社会人のための生成AI学習ロードマップ｜0→100日で実務活用レベルへ | AIリブート	components/academyLanding/blog/how-to-learn-generative-ai/HowToLearnGenerativeAiPage.tsx	7	/academy/blog/ai-coding-for-beginners /academy/blog/ai-course-ranking /academy/blog/ai-for-non-engineers /academy/blog/chatgpt-claude-beginners-guide /academy/blog/prompt-template-for-work /academy/blog/python-ai-intro /academy/blog/what-is-generative-ai	
multimodal-ai-intro	マルチモーダルAIとは？テキスト・画像・音声を横断する次世代AIを解説 | AIリブート	components/academyLanding/blog/multimodal-ai-intro/MultimodalAiIntroPage.tsx	4	/academy/blog/ai-image-generation-guide /academy/blog/what-is-ai-agent /academy/blog/what-is-generative-ai /academy/blog/what-is-rag	
notebooklm-guide	NotebookLMの使い方完全ガイド｜AIで情報整理・学習を効率化する方法 | AIリブート	components/academyLanding/blog/notebooklm-guide/NotebookLmGuidePage.tsx	6	/academy/blog/chatgpt-claude-beginners-guide /academy/blog/corporate-ai-adoption-guide /academy/blog/gemini-beginners-guide /academy/blog/how-to-learn-generative-ai /academy/blog/prompt-template-for-work /academy/blog/what-is-generative-ai	
prompt-template-for-work	仕事で使えるプロンプトテンプレート集｜メール・議事録・資料作成をAIで効率化 | AIリブート	components/academyLanding/blog/prompt-template-for-work/PromptTemplateForWorkPage.tsx	3	/academy/blog/ai-coding-for-beginners /academy/blog/github-copilot-guide /academy/blog/how-to-learn-generative-ai	
python-ai-intro	Python × AI入門｜環境構築からはじめての機械学習までの学習ロードマップ | AIリブート	components/academyLanding/blog/python-ai-intro/PythonAiIntroPage.tsx	4	/academy/blog/ai-certification-guide /academy/blog/ai-coding-for-beginners /academy/blog/how-to-learn-generative-ai /academy/blog/what-is-rag	
rag-use-cases	RAG（検索拡張生成）の活用事例8選｜業種・業務別に解説 | AIリブート	components/academyLanding/blog/rag-use-cases/RagUseCasesPage.tsx	4	/academy/blog/ai-business-efficiency-cases /academy/blog/corporate-ai-adoption-guide /academy/blog/what-is-ai-agent /academy/blog/what-is-rag	
reskilling-over-40	40代・50代からのAIリスキリング完全ガイド｜経験を強みに学び直す方法 | AIリブート	components/academyLanding/blog/reskilling-over-40/ReskillingOver40Page.tsx	6	/academy/blog/ai-career-change-cases /academy/blog/ai-coding-for-beginners /academy/blog/ai-school-for-working-adults /academy/blog/dx-reskilling-subsidy-guide /academy/blog/g-e-certification-comparison /academy/blog/skills-for-ai-era-career	
skills-for-ai-era-career	AI時代に必要なスキルを職種別に解説｜2026年版キャリア戦略 | AIリブート	components/academyLanding/blog/skills-for-ai-era-career/SkillsForAiEraCareerPage.tsx	7	/academy/blog/ai-career-change-cases /academy/blog/ai-coding-for-beginners /academy/blog/ai-engineer-career-change /academy/blog/ai-school-for-working-adults /academy/blog/g-e-certification-comparison /academy/blog/how-to-learn-generative-ai /academy/blog/reskilling-over-40	
what-is-ai-agent	AIエージェントとは？定義・種類・作り方を初心者向けに解説【2026年版】 | AIリブート	components/academyLanding/blog/what-is-ai-agent/WhatIsAiAgentPage.tsx	4	/academy/blog/ai-agent-build-guide /academy/blog/multimodal-ai-intro /academy/blog/rag-use-cases /academy/blog/what-is-rag	
what-is-generative-ai	生成AIとは？初心者向けにわかりやすく解説｜ChatGPT・Claude・Geminiの違いと始め方【2026年版】 | AIリブート	components/academyLanding/blog/what-is-generative-ai/WhatIsGenerativeAiPage.tsx	4	/academy/blog/ai-agent-build-guide /academy/blog/ai-coding-for-beginners /academy/blog/how-to-learn-generative-ai /academy/blog/what-is-rag	
what-is-rag	RAG（検索拡張生成）とは？仕組み・メリット・活用事例をわかりやすく解説 | AIリブート	components/academyLanding/blog/what-is-rag/WhatIsRagPage.tsx	7	/academy/blog/ai-agent-build-guide /academy/blog/corporate-ai-adoption-guide /academy/blog/how-to-learn-generative-ai /academy/blog/python-ai-intro /academy/blog/rag-use-cases /academy/blog/what-is-ai-agent /academy/blog/what-is-generative-ai	
